Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Number of Heads,Number of Columns,Max Context Length,Gbus width,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
1,0,5.0,4.952,-0.212,-0.212,2,16,32,16,4.74,N/A,N/A,9.34,23907959.629084,3404249,575792,2828457,5.49,0.26,4.8e-06,5.75,1.63,1.98,4.99e-06,3.61,3403663,3405774,576184,578295,3404249,23907959.629084,0,0,0,3905
1,1,5.0,4.294,0.48,0.48,4,2,32,16,4.773999999999999,N/A,N/A,2.36,6001469.635206,853874,144040,709834,1.37,0.0595,1.2e-06,1.43,0.414,0.523,1.28e-06,0.938,853676,854451,144112,144887,853874,6001469.635206,0,0,0,950
10,0,5.0,4.33,0.442,0.442,3,2,32,16,4.772,N/A,N/A,1.74,4489673.452796,639595,108042,531553,1.01,0.0435,8.97e-07,1.06,0.301,0.379,9.57e-07,0.68,639448,640051,108106,108709,639595,4489673.452796,0,0,0,669
11,0,6.0,4.895,0.847,0.847,5,2,32,16,5.741999999999999,N/A,N/A,2.38,7443777.923207,1059000,180038,878962,1.4,0.0591,1.49e-06,1.46,0.413,0.511,1.55e-06,0.923,1058751,1059698,180118,181065,1059000,7443777.923207,0,0,0,1147
12,0,5.0,4.753,-0.003,-0.003,1,8,32,16,4.75,N/A,N/A,2.35,5977387.788806,848581,143992,704589,1.36,0.0594,1.2e-06,1.42,0.414,0.509,1.26e-06,0.924,848380,849101,144111,144832,848581,5977387.788806,0,0,0,904
13,0,5.0,4.294,0.48,0.48,4,2,32,16,4.773999999999999,N/A,N/A,2.36,6001469.635206,853874,144040,709834,1.37,0.0595,1.2e-06,1.43,0.414,0.523,1.28e-06,0.938,853676,854451,144112,144887,853874,6001469.635206,0,0,0,950
13,1,5.0,4.865,-0.121,-0.121,1,16,32,16,4.744,N/A,N/A,4.77,11981641.344335,1705079,287920,1417159,2.78,0.139,2.39e-06,2.92,0.845,1.02,2.55e-06,1.86,1704670,1706007,288135,289472,1705079,11981641.344335,0,0,0,1921
13,2,5.0,5.002,-0.266,-0.266,3,16,32,16,4.736,N/A,N/A,13.9,35772628.78703,5093788,863664,4230124,8.17,0.372,7.21e-06,8.54,2.41,2.92,7.42e-06,5.33,5093025,5095910,864232,867117,5093788,35772628.78703,0,0,0,5975
14,0,6.0,4.895,0.847,0.847,5,2,32,16,5.741999999999999,N/A,N/A,2.38,7443777.923207,1059000,180038,878962,1.4,0.0591,1.49e-06,1.46,0.413,0.511,1.55e-06,0.923,1058751,1059698,180118,181065,1059000,7443777.923207,0,0,0,1148
15,0,6.0,5.053,0.681,0.681,5,8,32,16,5.734,N/A,N/A,9.59,29819990.985709,4245228,719768,3525460,5.64,0.24,6e-06,5.88,1.66,2.06,6.27e-06,3.72,4244607,4247048,720208,722649,4245228,29819990.985709,0,0,0,4916
16,0,5.0,4.753,-0.003,-0.003,1,8,32,16,4.75,N/A,N/A,2.35,5977387.788806,848581,143992,704589,1.36,0.0594,1.2e-06,1.42,0.414,0.509,1.26e-06,0.924,848380,849101,144111,144832,848581,5977387.788806,0,0,0,903
17,0,5.0,4.264,0.512,0.512,1,2,32,16,4.776,N/A,N/A,0.607,1492288.723201,211928,36046,175882,0.345,0.017,3e-07,0.362,0.108,0.136,3.09e-07,0.245,211883,212142,36093,36352,211928,1492288.723201,0,0,0,215
18,0,5.0,4.294,0.48,0.48,4,2,32,16,4.773999999999999,N/A,N/A,2.36,6001469.635206,853874,144040,709834,1.37,0.0595,1.2e-06,1.43,0.414,0.523,1.28e-06,0.938,853676,854451,144112,144887,853874,6001469.635206,0,0,0,909
19,0,6.0,5.075,0.658,0.658,3,8,32,16,5.7330000000000005,N/A,N/A,5.86,17976922.544586,2560069,431880,2128189,3.43,0.155,3.6e-06,3.58,1.02,1.25,3.79e-06,2.27,2559658,2561239,432160,433741,2560069,17976922.544586,0,0,0,2927
19,1,5.0,5.002,-0.266,-0.266,3,16,32,16,4.736,N/A,N/A,13.9,35772628.78703,5093788,863664,4230124,8.17,0.372,7.21e-06,8.54,2.41,2.92,7.42e-06,5.33,5093025,5095910,864232,867117,5093788,35772628.78703,0,0,0,5962
2,0,6.0,5.192,0.534,0.534,3,16,32,16,5.726,N/A,N/A,11.5,35772628.78703,5093788,863664,4230124,6.83,0.31,7.21e-06,7.14,2.01,2.44,7.42e-06,4.45,5093025,5095910,864232,867117,5093788,35772628.78703,0,0,0,5966
20,0,5.0,5.002,-0.266,-0.266,3,16,32,16,4.736,N/A,N/A,13.9,35772628.78703,5093788,863664,4230124,8.17,0.372,7.21e-06,8.54,2.41,2.92,7.42e-06,5.33,5093025,5095910,864232,867117,5093788,35772628.78703,0,0,0,5935
